,timedate,open,high,low,close,volume,12h_GAIN,12h_TREND,12h_TRENDPoint1,12h_TRENDPoint3,12h_TRENDPoint5,12h_TRENDPoint7,12h_TREND1,12h_TREND1Point3,12h_TREND1Point6,12h_TREND2,12h_TREND2Point5,12h_TREND3,12h_CDLMARUBOZU,12h_CDLRICKSHAWMAN,12h_CDLCLOSINGMARUBOZU,12h_CMO1,12h_CMO2,12h_RSI1,12h_RSI2,12h_STOCH1,12h_STOCH2,12h_STOCH3,12h_STOCH4,12h_CDLHIKKAKE,12h_CDLMATHOLD,12h_CDLBREAKAWAY,12h_CDLDOJI,12h_CDLDOJISTAR,12h_CDLSHOOTINGSTAR,12h_WILLR1,12h_WILLR2,12h_TRIX1,12h_TRIX2,12h_STOCHF1,12h_STOCHF2,12h_STOCHF3,12h_STOCHF4,12h_CDLHIKKAKEMOD,12h_CDLLADDERBOTTOM,12h_CDLRISEFALL3METHODS,12h_CDLDRAGONFLYDOJI,12h_CDLGRAVESTONEDOJI,12h_CDLHANGINGMAN,12h_AROONOSC1,12h_AROONOSC2,12h_PPO1,12h_MFI1,12h_MFI2,12h_CDLTASUKIGAP,12h_CDLCONCEALBABYSWALL,12h_CDLXSIDEGAP3METHODS,12h_CDLHAMMER,12h_CDLINVERTEDHAMMER,12h_CDLLONGLINE,12h_CDLLONGLEGGEDDOJI,12h_PPO2,12h_PPO3,12h_PPO4,12h_CDLADVANCEBLOCK,12h_CDL2CROWS,12h_CDL3LINESTRIKE,12h_CDLSTALLEDPATTERN,12h_CDLTAKURI,12h_CDLSPINNINGTOP,12h_CDLSHORTLINE,12h_HT_DCPERIOD,12h_HT_DCPHASE,12h_HT_PHASOR1,12h_HT_PHASOR2,12h_CDL3BLACKCROWS,12h_CDLUNIQUE3RIVER,12h_CDL3WHITESOLDIERS,12h_CDLENGULFING,12h_CDLKICKING,12h_CDLKICKINGBYLENGTH,12h_HT_SINE1,12h_HT_SINE2,12h_HT_TRENDMODE,12h_ULTOSC1,12h_ULTOSC2,12h_CDLIDENTICAL3CROWS,12h_CDLTRISTAR,12h_CDL3OUTSIDE,12h_CDLMATCHINGLOW,12h_CDLGAPSIDESIDEWHITE,12h_CDLDARKCLOUDCOVER,12h_CCI1,12h_CCI2,12h_STOCHRSI1,12h_STOCHRSI2,12h_STOCHRSI3,12h_STOCHRSI4,12h_ADX1,12h_ADX2,12h_DX1,12h_DX2,12h_CDLMORNINGSTAR,12h_CDL3INSIDE,12h_CDLINNECK,12h_CDLONNECK,12h_CDLBELTHOLD,12h_CDLCOUNTERATTACK,12h_CDLHARAMICROSS,12h_CDL3STARSINSOUTH,12h_CDLEVENINGDOJISTAR,12h_CDLMORNINGDOJISTAR,12h_CDLUPSIDEGAP2CROWS,12h_CDLSEPARATINGLINES,12h_CDLTHRUSTING,12h_CDLHARAMI,12h_CDLHOMINGPIGEON,12h_CDLPIERCING,12h_CDLABANDONEDBABY,12h_CDLEVENINGSTAR,12h_CDLHIGHWAVE,12h_CDLSTICKSANDWICH
836,2016-04-10 12:00:00,422.01,423.97799112,422.01,423.27430552,1820.2602294199985,-0.0059,0,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.1843,0.0737,0.5922,0.5369,0.5187,0.6678,0.7496,0.6926,0.0,0.0,0.0,0.0,0.0,0.0,-0.1481,-0.1665,0.0043,0.0053,0.6678,0.8519,0.6926,0.8519,0.0,0.0,0.0,0.0,0.0,0.0,-0.0714,0.3095,0.0039,0.5112,0.5424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0198,0.2045,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2172,0.708,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.9654,-0.867,0,0.6147,0.5963,0.0,0.0,0.0,0.0,0.0,0.0,0.1224,0.114,0.5356,0.8469,0.6272,0.9373,0.1148,0.1332,0.0503,0.0835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837,2016-04-11 00:00:00,423.28980878,423.98118747,420.36452307,420.7870958,2081.0257304699976,0.0071,1,UP,UP,UP,UP,UP,UP,UP,UP,EITHER,EITHER,0.0,0.0,0.0,0.0515,0.0461,0.5257,0.523,0.6352,0.7311,0.7407,0.6608,0.0,0.0,0.0,0.0,0.0,0.0,-0.4224,-0.3088,0.0044,0.0053,0.7311,0.6211,0.6608,0.5776,0.0,0.0,0.0,0.0,0.0,0.0,-0.0714,0.3095,0.0046,0.5073,0.5439,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0196,0.2045,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2227,0.7515,-0.0,-0.0003,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-0.7005,0,0.5616,0.5798,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0808,0.6031,0.3249,0.5761,0.3376,0.1088,0.1324,0.0313,0.0995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838,2016-04-11 12:00:00,420.87221713,423.87292865,420.7212386,423.87292865,3128.6589188700004,0.0059,1,UP,UP,UP,UP,UP,UP,UP,EITHER,EITHER,EITHER,1.0,0.0,1.0,0.1751,0.0763,0.5875,0.5382,0.7391,0.8184,0.7331,0.682,0.0,0.0,0.0,0.0,0.0,0.0,-0.0821,-0.1473,0.0045,0.0053,0.8184,0.9821,0.682,0.9179,0.0,0.0,0.0,0.0,0.0,0.0,-0.0714,0.2857,0.0052,0.6039,0.5417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0194,0.2043,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2259,0.8149,-0.0002,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.9181,-0.369,0,0.5861,0.5942,0.0,0.0,0.0,0.0,0.0,0.0,0.1016,0.1033,0.7083,0.9532,0.5836,0.9933,0.1033,0.1316,0.0313,0.0995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839,2016-04-12 00:00:00,423.98408866,429.54,423.72833444,426.49286648,2903.7344772100078,0.0031,1,UP,UP,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.2629,0.1011,0.6315,0.5505,0.7722,0.767,0.7216,0.6738,-0.5,0.0,0.0,0.0,0.0,0.0,-0.2178,-0.146,0.0047,0.0053,0.767,0.6977,0.6738,0.7822,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.5952,0.0051,0.6121,0.5422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.2041,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2299,0.3751,-0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.7066,-0.0008,0,0.6165,0.5745,0.0,0.0,0.0,0.0,0.0,0.0,0.2581,0.1825,0.7594,1.0,0.5836,1.0,0.1111,0.1293,0.213,0.0342,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840,2016-04-12 12:00:00,426.45443362,429.03240913,426.17475217,427.77380759,4402.250249960005,-0.0048,0,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.3021,0.113,0.651,0.5565,0.8048,0.8291,0.7049,0.6635,0.0,0.0,0.0,0.0,0.0,0.0,-0.1262,-0.0846,0.0049,0.0053,0.8291,0.8075,0.6635,0.8738,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.5952,0.0051,0.6208,0.5467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199,0.2039,,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2336,0.3262,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.8876,0.302,0,0.5825,0.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.2097,0.1936,0.9844,1.0,0.665,1.0,0.1184,0.1271,0.213,0.0342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841,2016-04-13 00:00:00,427.94269228,429.37,425.05815817,425.88,2540.9439648500024,-0.0007,0,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.2006,0.0911,0.6003,0.5455,0.7661,0.7021,0.6937,0.6957,0.0,0.0,0.0,0.0,0.0,0.0,-0.2616,-0.1753,0.0051,0.0053,0.7021,0.6011,0.6957,0.7384,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.5952,0.0047,0.5569,0.5273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202,0.2038,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2362,0.3475,0.0002,0.0003,0.0,0.0,0.0,-1.0,0.0,0.0,0.8183,0.1722,0,0.526,0.5488,0.0,0.0,0.0,0.0,0.0,0.0,0.1349,0.162,0.865,0.595,0.7265,0.7344,0.1207,0.1251,0.1507,0.0459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,2016-04-13 12:00:00,425.88,427.0452494,423.67674233,425.58,3424.751379819999,-0.0002,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,1.0,0.0,0.1848,0.0876,0.5924,0.5438,0.7281,0.6532,0.6907,0.7345,0.0,0.0,0.0,1.0,0.0,0.0,-0.2831,-0.1897,0.0054,0.0053,0.6532,0.551,0.7345,0.7169,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.5952,0.0044,0.5578,0.5295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0203,0.2035,,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.2402,0.3769,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.6988,-0.0117,0,0.5061,0.5505,0.0,0.0,-1.0,0.0,0.0,0.0,0.079,0.1255,0.7091,0.5322,0.7976,0.6923,0.1176,0.1236,0.077,0.0604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
843,2016-04-14 00:00:00,425.58,427.99289969,425.06329156,425.49620825,1966.6792709399967,0.0018,1,UP,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.1802,0.0866,0.5901,0.5433,0.6143,0.4875,0.6959,0.7655,0.0,0.0,0.0,1.0,0.0,0.0,-0.2891,-0.1937,0.0056,0.0053,0.4875,0.3103,0.7655,0.7109,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.5952,0.0043,0.6159,0.5471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0206,0.2033,,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.2406,0.4122,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.5241,-0.2316,0,0.4733,0.5347,0.0,0.0,0.0,1.0,0.0,0.0,0.084,0.1337,0.3891,0.04,0.7969,0.6803,0.1177,0.1218,0.1187,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
844,2016-04-14 12:00:00,425.45113473,426.24427004,424.67885938,426.20057033,3243.627830399997,0.0063,1,UP,UP,UP,UP,UP,UP,UP,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.2083,0.0937,0.6042,0.5469,0.5252,0.4349,0.7043,0.7701,0.0,0.0,0.0,0.0,0.0,0.0,-0.2387,-0.16,0.0058,0.0053,0.4349,0.4433,0.7701,0.7613,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.5952,0.0041,0.5318,0.5479,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0211,0.2032,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2356,0.4492,0.0004,0.0002,0.0,0.0,0.0,1.0,0.0,0.0,0.3141,-0.4492,0,0.5228,0.5588,0.0,0.0,0.0,0.0,0.0,0.0,0.0601,0.1183,0.2678,0.2311,0.7756,0.7664,0.1162,0.1202,0.0971,0.0533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,2016-04-15 00:00:00,426.4522254,429.13806246,425.85,429.13806246,1794.7570768599994,0.0037,1,UP,UP,UP,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,1.0,0.3142,0.1228,0.6571,0.5614,0.4978,0.571,0.7144,0.7834,0.0,0.0,0.0,0.0,0.0,0.0,-0.0287,-0.0193,0.0061,0.0053,0.571,0.9593,0.7834,0.9713,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,0.5952,0.004,0.5266,0.5477,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0216,0.2032,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2293,0.4788,0.0004,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.133,-0.6068,0,0.5318,0.5692,0.0,0.0,1.0,0.0,0.0,0.0,0.0996,0.1583,0.4237,1.0,0.8584,1.0,0.1236,0.1178,0.2195,0.0191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846,2016-04-15 12:00:00,429.24,431.06941609,428.48876680000006,430.83222911,2738.450949030001,0.0039,1,UP,UP,UP,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.3668,0.1392,0.6834,0.5696,0.5987,0.7902,0.733,0.8286,0.0,0.0,0.0,0.0,0.0,0.0,-0.0153,-0.0106,0.0064,0.0053,0.7902,0.9679,0.8286,0.9847,0.0,0.0,0.0,0.0,0.0,0.0,0.9286,0.7619,0.0048,0.6294,0.5474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.2031,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2242,0.5114,0.0003,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,-0.0714,-0.7558,0,0.5816,0.5751,0.0,0.0,0.0,0.0,0.0,0.0,0.1272,0.1881,0.7437,1.0,0.8592,1.0,0.1354,0.115,0.2888,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
847,2016-04-16 00:00:00,430.72197917,434.89,430.62155698,432.41507081,2053.6308857999993,0.0026,1,UP,UP,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.4121,0.1543,0.7061,0.5771,0.752,0.8949,0.7487,0.8235,0.0,0.0,0.0,0.0,0.0,0.0,-0.146,-0.0944,0.0067,0.0053,0.8949,0.7576,0.8235,0.872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7857,0.0059,0.6809,0.5657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.203,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2212,0.5262,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,-0.164,-0.8135,1,0.5538,0.5669,0.0,0.0,0.0,0.0,0.0,0.0,0.1695,0.2207,1.0,1.0,0.8592,1.0,0.1544,0.1134,0.402,0.0452,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
