,timedate,close,high,low,open,volume,1w_GAIN,1w_RATIO,1w_TREND,1w_TRENDPoint1,1w_TRENDPoint3,1w_TRENDPoint5,1w_TRENDPoint7,1w_TREND1,1w_TREND1Point3,1w_TREND1Point6,1w_TREND2,1w_TREND2Point5,1w_TREND3,1w_CDLMARUBOZU,1w_CDLRICKSHAWMAN,1w_CDLCLOSINGMARUBOZU,1w_CMO1,1w_CMO2,1w_RSI1,1w_RSI2,1w_STOCH1,1w_STOCH2,1w_STOCH3,1w_STOCH4,1w_CDLHIKKAKE,1w_CDLBREAKAWAY,1w_CDLDOJI,1w_CDLDOJISTAR,1w_CDLSHOOTINGSTAR,1w_WILLR1,1w_WILLR2,1w_TRIX1,1w_TRIX2,1w_STOCHF1,1w_STOCHF2,1w_STOCHF3,1w_STOCHF4,1w_CDLHIKKAKEMOD,1w_CDLRISEFALL3METHODS,1w_CDLDRAGONFLYDOJI,1w_CDLGRAVESTONEDOJI,1w_CDLHANGINGMAN,1w_AROONOSC1,1w_AROONOSC2,1w_PPO1,1w_MFI1,1w_MFI2,1w_CDLTASUKIGAP,1w_CDLXSIDEGAP3METHODS,1w_CDLHAMMER,1w_CDLINVERTEDHAMMER,1w_CDLLONGLINE,1w_CDLLONGLEGGEDDOJI,1w_PPO2,1w_PPO3,1w_PPO4,1w_CDLADVANCEBLOCK,1w_CDL2CROWS,1w_CDLSTALLEDPATTERN,1w_CDLTAKURI,1w_CDLSPINNINGTOP,1w_CDLSHORTLINE,1w_HT_DCPERIOD,1w_HT_DCPHASE,1w_HT_PHASOR1,1w_HT_PHASOR2,1w_CDL3BLACKCROWS,1w_CDLUNIQUE3RIVER,1w_CDL3WHITESOLDIERS,1w_CDLENGULFING,1w_HT_SINE1,1w_HT_SINE2,1w_HT_TRENDMODE,1w_ULTOSC1,1w_ULTOSC2,1w_CDLIDENTICAL3CROWS,1w_CDL3OUTSIDE,1w_CDLMATCHINGLOW,1w_CDLGAPSIDESIDEWHITE,1w_CDLDARKCLOUDCOVER,1w_CCI1,1w_CCI2,1w_STOCHRSI1,1w_STOCHRSI2,1w_STOCHRSI3,1w_STOCHRSI4,1w_ADX1,1w_ADX2,1w_DX1,1w_DX2,1w_CDL3INSIDE,1w_CDLBELTHOLD,1w_CDLHARAMICROSS,1w_CDLEVENINGDOJISTAR,1w_CDLMORNINGDOJISTAR,1w_CDLSEPARATINGLINES,1w_CDLTHRUSTING,1w_CDLHARAMI,1w_CDLHOMINGPIGEON,1w_CDLPIERCING,1w_CDLEVENINGSTAR,1w_CDLHIGHWAVE
23,2018-03-19 00:00:00+00:00,8478.0664,9178.9999,7325.8001,7390.0922,260766.84532694,-0.2384,,0,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.0296,,0.5148,,0.4476,0.2673,,,0.0,0.0,0.0,0.0,0.0,-0.8172,,,,0.2673,0.2602,0.2709,0.1774,0.0,0.0,0.0,0.0,0.0,-0.5714,,,0.4151,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,-0.0899,,0.093,0.279,,,,,0.0463,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2018-03-26 00:00:00+00:00,6449.8078,8664.0179,6439.7597,8468.4281,303527.57016764,0.0916,,1,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,-1.0,0.0,-1.0,-0.0485,,0.4758,,0.276,0.092,,,0.5,0.0,0.0,0.0,0.0,-0.9624,,,,0.092,0.0019,0.2242,0.0312,0.0,0.0,0.0,0.0,0.0,-0.5,,,0.4138,,0.0,0.0,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,-0.1154,,0.093,0.0,,,,,0.01,,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2018-04-02 00:00:00+00:00,7041.0,7504.509,6432.8911,6450.2031,265409.4575286,0.176,,1,UP,UP,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0241,,0.488,,0.1617,0.126,,,0.0,0.0,0.0,0.0,0.0,-0.9092,,,,0.126,0.1158,0.206,0.0908,0.0,0.0,0.0,0.0,0.0,-0.3571,,,0.4144,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,-0.1114,,0.1367,0.1311,,,,,0.0104,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,2018-04-09 00:00:00+00:00,8275.98,8400.0,6620.0,7037.1983,270517.2536527,0.0809,,1,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.0268,,0.5134,,0.145,0.2169,,,0.0,0.0,0.0,0.0,0.0,-0.7856,,,,0.2169,0.5331,0.2034,0.202,0.0,0.0,0.0,0.0,0.0,-0.3571,,,0.4052,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,-0.0757,,0.2928,0.7471,,,,,0.0495,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2018-04-16 00:00:00+00:00,8939.0,9034.9899,7826.0,8270.0,216696.0661333,0.0414,,1,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.054,,0.527,,0.2878,0.5205,,,0.0,0.0,0.0,0.0,0.0,-0.6441,,,,0.5205,0.9126,0.1928,0.2777,0.0,0.0,0.0,0.0,0.0,-0.2857,,-0.08,0.463,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,-0.0288,,0.6261,1.0,,,0.1169,,0.0907,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2018-04-23 00:00:00+00:00,9299.7349,9758.3399,8652.9301,8930.0,314649.85521252,0.0206,,1,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.0693,,0.5346,,0.5022,0.7693,,,0.0,0.0,0.0,0.0,0.0,-0.5842,,,,0.7693,0.8621,0.2075,0.4001,0.0,0.0,0.0,0.0,0.0,-0.2143,,-0.1069,0.5486,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,0.4587,,0.0,0.0,0.0,0.0,0.0,0.0133,,0.9157,1.0,,,0.1183,,0.1366,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2018-04-30 00:00:00+00:00,9510.0,9997.0,8827.4729,9318.0,243891.39886342,-0.0955,,0,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,1.0,0.0,0.0786,,0.5393,,0.723,0.8794,,,0.0,0.0,1.0,0.0,0.0,-0.4117,,,,0.8794,0.8634,0.2155,0.4425,0.0,0.0,0.0,0.0,0.0,-0.1429,,-0.1338,0.5265,,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,0.5279,,0.0,0.0,0.0,0.0,0.0,0.0413,,1.0,1.0,,,0.1207,,0.1518,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,2018-05-07 00:00:00+00:00,8602.0,9690.0,8123.9001,9510.0,261108.42825676,-0.0262,,0,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.0306,,0.5153,,0.8065,0.7708,0.2306,0.2394,0.0,0.0,0.0,0.0,0.0,-0.5525,,,,0.7708,0.5869,0.2394,0.4347,0.0,0.0,0.0,0.0,0.0,-0.0714,,-0.1436,0.5626,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,0.5057,,0.0,0.0,0.0,0.0,0.0,0.0022,,0.8442,0.5327,,,0.1185,,0.0908,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2018-05-14 00:00:00+00:00,8391.038,8877.136,7918.0906,8617.0549,212776.63149498,-0.1245,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.0193,,0.5096,,0.7401,0.5702,0.226,0.2741,0.0,0.0,0.0,0.0,0.0,-0.6334,,,,0.5702,0.2603,0.2741,0.4108,0.0,0.0,0.0,0.0,0.0,0.1429,,-0.1467,0.611,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,0.5663,,0.0,0.0,0.0,0.0,0.0,-0.0313,,0.5109,0.0,,,0.1153,,0.0729,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2018-05-21 00:00:00+00:00,7340.7984,8604.7392,6002.0,8384.6317,182104.86141805,0.0531,,1,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0375,,0.4812,,0.5784,0.3941,0.227,0.2802,0.0,0.0,0.0,0.0,0.0,-0.7681,,,,0.3941,0.3351,0.2802,0.2319,0.0,0.0,0.0,0.0,0.0,-0.9286,,-0.1727,0.5463,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1973,,0.0893,0.1523,0.0,0.0,0.0,0.0,,,0,0.5428,,0.0,0.0,0.0,0.0,0.0,-0.0981,,0.1776,0.0,,,0.1127,,0.0787,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2018-05-28 00:00:00+00:00,7726.988,7774.0223,7006.74,7337.13,168555.79721578,-0.0652,,0,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0151,,0.4924,,0.4356,0.3424,0.2365,0.3099,0.0,0.0,0.0,0.0,0.0,-0.6964,,,,0.3424,0.4318,0.3099,0.2989,0.0,0.0,0.0,0.0,0.0,-0.9286,,-0.1842,0.5144,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.2063,,0.1332,0.0529,0.0,0.0,0.0,0.0,,,0,0.5382,,0.0,0.0,0.0,0.0,0.0,-0.075,,0.0643,0.1929,,,0.1102,,0.0787,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2018-06-04 00:00:00+00:00,7223.04,7764.7769,7165.8433,7726.968000000002,153428.17131152,-0.0977,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0441,,0.4779,,0.3675,0.366,0.2496,0.3237,0.0,0.0,0.0,0.0,0.0,-0.7851,,,,0.366,0.3311,0.3237,0.2149,0.0,0.0,0.0,0.0,0.0,-0.7857,,-0.2064,0.4321,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,0.2137,,0.1301,-0.1173,0.0,0.0,0.0,0.0,,,0,0.4781,,0.0,0.0,0.0,0.0,0.0,-0.0752,,0.0643,0.0,,,0.108,,0.0787,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2018-06-11 00:00:00+00:00,6517.2467,7230.0,6098.1161,7223.0401,201071.12294693,-0.1136,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0848,,0.4576,,0.3408,0.314,0.2616,0.3114,0.5,0.0,0.0,0.0,0.0,-0.871,,,,0.314,0.1792,0.3114,0.0907,0.0,0.0,0.0,0.0,0.0,-0.7857,,-0.2098,0.4696,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2176,,0.0368,-0.2202,0.0,0.0,0.0,0.0,,,0,0.4687,,0.0,0.0,0.0,0.0,0.0,-0.1246,,0.0643,0.0,,,0.1118,,0.1612,,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2018-06-18 00:00:00+00:00,5776.1518,6834.9658,5750.816,6516.538000000001,165194.01159279,0.0929,,1,UP,UP,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,-1.0,-0.1268,,0.4366,,0.2844,0.1731,0.2714,0.2812,0.0,0.0,0.0,0.0,0.0,-0.994,,,,0.1731,0.0089,0.2812,0.006,0.0,0.0,0.0,0.0,0.0,-0.5,,-0.1937,0.4938,,0.0,0.0,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2174,,-0.0479,-0.1935,0.0,0.0,0.0,0.0,,,0,0.4339,,0.0,0.0,0.0,0.0,0.0,-0.138,,-0.0,0.0,,,0.1171,,0.1867,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2018-06-25 00:00:00+00:00,6313.0,6516.6796,5766.4752,5776.151999999999,160121.14595829998,0.0676,,1,UP,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0879,,0.4561,,0.2141,0.1553,0.2763,0.2514,0.0,0.0,0.0,0.0,0.0,-0.8676,,,,0.1553,0.2779,0.2514,0.1324,0.0,0.0,0.0,0.0,0.0,-0.5,,-0.1703,0.4693,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.2146,,-0.1143,-0.1248,0.0,0.0,0.0,0.0,,,0,0.4572,,0.0,0.0,0.0,0.0,0.0,-0.1126,,0.1163,0.3488,,,0.1221,,0.1867,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,2018-07-02 00:00:00+00:00,6738.9467,6829.9999,6272.4309,6312.4583,145841.23870346,-0.0524,,0,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0567,,0.4717,,0.1958,0.2591,0.2777,0.2281,-0.5,0.0,0.0,0.0,0.0,-0.7673,,,,0.2591,0.4906,0.2281,0.2327,0.0,0.0,0.0,0.0,0.0,-0.5,,-0.1489,0.5356,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.2108,,-0.1328,-0.0176,0.0,0.0,0.0,0.0,,,0,0.4977,,0.0,0.0,0.0,0.0,0.0,-0.0751,,0.3257,0.6282,,,0.1241,,0.1501,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2018-07-09 00:00:00+00:00,6388.0,6801.0389,6075.4434,6741.3645,140457.17757889,0.178,,1,UP,UP,UP,UP,UP,UP,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0801,,0.46,,0.2714,0.3998,0.2729,0.1965,0.0,0.0,0.0,0.0,0.0,-0.8499,,,,0.3998,0.4308,0.1965,0.1501,0.0,0.0,0.0,0.0,0.0,-0.5,,-0.1305,0.5586,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2061,,-0.1053,0.0067,0.0,0.0,0.0,0.0,,,0,0.4842,,0.0,0.0,0.0,0.0,0.0,-0.0829,,0.5141,0.5654,,,0.1272,,0.1675,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2018-07-16 00:00:00+00:00,7522.4536,7696.3044,6331.846,6386.0,164096.67846825,0.0935,,1,UP,UP,UP,UP,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.0058,,0.5029,,0.4232,0.6107,0.2644,0.1972,0.0,0.0,0.0,0.0,0.0,-0.5828,,,,0.6107,0.9106,0.1972,0.4172,0.0,0.0,0.0,0.0,0.0,-0.5,,-0.104,0.5395,,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2008,,-0.1178,-0.0052,0.0,0.0,0.0,1.0,,,0,0.4953,,0.0,0.0,0.0,0.0,0.0,-0.0263,,0.7312,1.0,,,0.1225,,0.0613,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2018-07-23 00:00:00+00:00,8230.8345,8488.8888,7342.0,7527.2053,191803.60198886,-0.1488,,0,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.0563,,0.5281,,0.5864,0.7489,0.2595,0.2363,0.0,0.0,0.0,0.0,0.0,-0.4159,-0.5848,,,0.7489,0.9052,0.2363,0.5841,0.0,0.0,0.0,0.0,0.0,-0.5,,-0.0931,0.5323,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1956,,-0.127,0.0435,0.0,0.0,0.0,0.0,,,0,0.545,,0.0,1.0,0.0,0.0,0.0,0.0371,-0.0288,0.8551,1.0,,,0.1154,,0.0234,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
